EmployeeID,Age,Gender,Department,JobRole,EducationField,MonthlyIncome,Attrition,JobSatisfaction,HireDate,YearsAtCompany,OfferExtended,OfferAccepted,DaysToFill,PerformanceRating,WorkLifeBalance,OverTime,SeniorityBand,Region,IsOpenRequisition
1000,32,Female,Research & Development,Research Scientist,Life Sciences,5009,No,3,2024-07,18,Yes,No,89,3,4,No,Mid,Americas,0
1001,42,Female,Human Resources,Human Resources,Technical Degree,7023,No,1,2024-01,0,Yes,Yes,63,4,1,No,Senior,APAC,0
1002,32,Female,Research & Development,Laboratory Technician,Medical,8153,No,2,2024-02,11,Yes,Yes,19,4,4,No,Senior,EMEA,0
1003,36,Female,Research & Development,Healthcare Representative,Marketing,7099,No,1,2024-12,10,Yes,Yes,94,3,1,No,Senior,EMEA,0
1004,32,Female,Sales,Sales Executive,Other,3387,No,4,2024-12,13,Yes,Yes,41,3,3,No,Junior,Americas,0
1005,51,Male,Sales,Sales Representative,Marketing,4613,No,3,2024-12,11,Yes,Yes,88,3,1,Yes,Mid,Americas,0
1006,41,Female,Sales,Manager,Human Resources,7745,No,2,2024-12,8,Yes,Yes,40,3,3,No,Senior,Americas,0
1007,45,Male,Human Resources,Manager,Marketing,5291,No,4,2022-08,6,Yes,No,88,3,2,No,Mid,APAC,0
1008,26,Male,Research & Development,Laboratory Technician,Marketing,6290,No,4,2024-09,6,Yes,Yes,46,3,2,Yes,Mid,EMEA,0
1009,23,Male,Research & Development,Research Scientist,Other,4191,No,3,2024-01,8,Yes,Yes,89,3,4,Yes,Mid,EMEA,0
1010,47,Male,Sales,Manager,Life Sciences,6552,No,4,2022-04,0,Yes,Yes,84,3,3,Yes,Senior,Americas,0
1011,26,Male,Human Resources,Human Resources,Marketing,4960,Yes,2,2022-02,11,Yes,Yes,72,3,2,No,Mid,APAC,0
1012,59,Female,Research & Development,Manager,Other,8204,No,1,2022-02,14,Yes,Yes,69,4,2,Yes,Senior,APAC,0
1013,33,Female,Sales,Sales Executive,Other,6115,No,3,2023-04,18,Yes,No,118,4,1,No,Mid,Americas,0
1014,42,Female,Sales,Sales Executive,Technical Degree,5022,No,2,2024-06,19,No,No,112,3,2,Yes,Mid,Americas,1
1015,42,Female,Sales,Manager,Human Resources,4756,No,3,2022-02,3,Yes,Yes,96,3,2,No,Mid,Americas,0
1016,43,Female,Sales,Manager,Human Resources,2500,No,4,2023-03,9,Yes,Yes,44,4,2,Yes,Junior,Americas,0
1017,30,Male,Research & Development,Manager,Human Resources,7447,No,4,2023-02,17,Yes,Yes,24,3,2,Yes,Senior,EMEA,0
1018,57,Male,Research & Development,Laboratory Technician,Marketing,3710,No,1,2024-09,5,No,No,39,3,1,Yes,Junior,Americas,1
1019,25,Male,Sales,Sales Executive,Technical Degree,5919,Yes,1,2024-10,13,No,No,34,4,1,Yes,Mid,Americas,1
1020,50,Male,Research & Development,Laboratory Technician,Life Sciences,5498,No,2,2024-08,10,Yes,Yes,64,3,3,No,Mid,EMEA,0
1021,40,Male,Sales,Sales Executive,Technical Degree,5032,No,1,2023-11,3,Yes,No,18,3,4,No,Mid,Americas,0
1022,57,Male,Sales,Manager,Other,2500,Yes,3,2024-05,6,No,No,41,4,2,No,Junior,Americas,1
1023,26,Male,Research & Development,Research Scientist,Other,6973,Yes,2,2023-10,6,Yes,Yes,19,3,1,Yes,Senior,Americas,0
1024,39,Male,Research & Development,Laboratory Technician,Human Resources,3103,No,4,2023-09,1,Yes,Yes,66,4,4,No,Junior,Americas,0
1025,50,Female,Research & Development,Manager,Life Sciences,4146,No,4,2024-05,16,No,No,23,3,1,No,Mid,EMEA,1
1026,31,Male,Sales,Sales Executive,Marketing,5270,No,2,2024-09,7,No,No,63,3,1,Yes,Mid,Americas,1
1027,26,Male,Research & Development,Healthcare Representative,Life Sciences,5671,No,3,2023-07,10,Yes,Yes,15,3,3,Yes,Mid,EMEA,0
1028,26,Female,Research & Development,Healthcare Representative,Marketing,2500,No,3,2023-05,18,No,No,42,3,3,No,Junior,EMEA,1
1029,53,Male,Sales,Sales Executive,Life Sciences,5726,Yes,3,2024-06,7,Yes,Yes,118,3,1,No,Mid,Americas,0
1030,57,Female,Research & Development,Laboratory Technician,Other,7630,No,4,2022-03,11,Yes,Yes,105,4,2,No,Senior,EMEA,0
1031,52,Male,Sales,Sales Executive,Life Sciences,6343,No,4,2024-08,17,Yes,Yes,69,3,1,No,Mid,Americas,0
1032,43,Female,Sales,Sales Representative,Medical,5941,No,4,2024-01,6,Yes,Yes,26,3,3,Yes,Mid,Americas,0
1033,29,Male,Human Resources,Human Resources,Human Resources,5139,No,2,2023-09,10,Yes,Yes,103,4,4,Yes,Mid,APAC,0
1034,50,Male,Human Resources,Manager,Human Resources,4413,No,3,2022-02,4,Yes,Yes,75,3,4,No,Mid,APAC,0
1035,44,Female,Research & Development,Laboratory Technician,Other,5872,No,3,2023-07,7,No,No,72,4,4,Yes,Mid,APAC,1
1036,22,Female,Sales,Sales Executive,Human Resources,3990,No,3,2022-03,1,Yes,Yes,55,4,1,No,Junior,Americas,0
1037,33,Male,Sales,Sales Representative,Marketing,4381,No,4,2024-02,18,Yes,No,109,3,2,No,Mid,Americas,0
1038,25,Female,Research & Development,Research Scientist,Other,6398,No,2,2022-04,5,Yes,Yes,60,4,4,No,Mid,EMEA,0
1039,28,Male,Research & Development,Healthcare Representative,Technical Degree,5981,No,4,2023-05,1,Yes,Yes,44,4,3,Yes,Mid,Americas,0
1040,43,Male,Sales,Manager,Other,7195,No,4,2023-07,16,Yes,No,69,3,2,No,Senior,Americas,0
1041,32,Female,Research & Development,Research Scientist,Technical Degree,6830,No,4,2024-04,14,Yes,Yes,105,3,2,No,Senior,Americas,0
1042,47,Male,Sales,Manager,Human Resources,3327,No,2,2022-09,12,Yes,Yes,84,3,3,No,Junior,Americas,0
1043,56,Female,Human Resources,Human Resources,Other,5997,No,4,2023-07,16,No,No,35,4,4,No,Mid,APAC,1
1044,25,Male,Sales,Sales Representative,Life Sciences,5583,Yes,3,2024-02,19,Yes,Yes,38,3,4,Yes,Mid,Americas,0
1045,43,Male,Research & Development,Healthcare Representative,Human Resources,5659,No,3,2024-06,9,Yes,No,103,3,2,Yes,Mid,EMEA,0
1046,41,Male,Sales,Sales Executive,Medical,7171,No,4,2024-12,10,Yes,Yes,34,4,3,No,Senior,Americas,0
1047,35,Male,Research & Development,Research Scientist,Marketing,8805,No,3,2024-02,4,No,No,102,3,3,No,Lead,EMEA,1
1048,54,Male,Research & Development,Research Scientist,Life Sciences,4705,No,4,2022-12,1,No,No,42,4,3,Yes,Mid,EMEA,1
1049,55,Male,Sales,Sales Representative,Medical,4513,Yes,2,2023-05,15,Yes,Yes,71,4,2,No,Mid,Americas,0
1050,33,Female,Human Resources,Manager,Other,5451,No,4,2023-10,3,Yes,Yes,100,3,4,Yes,Mid,APAC,0
1051,49,Male,Research & Development,Manager,Technical Degree,4203,No,2,2023-10,16,No,No,77,4,1,Yes,Mid,EMEA,1
1052,54,Male,Human Resources,Human Resources,Other,7524,No,3,2022-08,10,Yes,Yes,26,4,4,No,Senior,APAC,0
1053,58,Male,Human Resources,Manager,Human Resources,4644,No,4,2024-12,17,No,No,56,4,4,No,Mid,APAC,1
1054,37,Female,Research & Development,Laboratory Technician,Marketing,4858,No,1,2022-07,3,No,No,108,4,2,Yes,Mid,EMEA,1
1055,33,Male,Human Resources,Manager,Other,4743,No,1,2022-09,12,Yes,No,48,4,4,No,Mid,APAC,0
1056,26,Male,Sales,Manager,Other,7395,No,3,2024-03,8,No,No,116,4,2,No,Senior,Americas,1
1057,23,Male,Sales,Sales Executive,Marketing,9732,No,4,2022-11,15,Yes,Yes,35,4,4,Yes,Lead,Americas,0
1058,56,Female,Sales,Sales Executive,Human Resources,4763,No,1,2023-09,4,No,No,25,4,3,Yes,Mid,Americas,1
1059,37,Female,Sales,Sales Executive,Human Resources,3879,Yes,1,2023-08,19,Yes,Yes,15,4,3,Yes,Junior,Americas,0
1060,25,Male,Research & Development,Manager,Technical Degree,4856,No,2,2022-03,3,Yes,Yes,90,3,3,No,Mid,Americas,0
1061,39,Male,Sales,Sales Executive,Marketing,6137,No,3,2023-03,1,No,No,60,4,2,No,Mid,Americas,1
1062,40,Male,Research & Development,Healthcare Representative,Life Sciences,4524,No,3,2024-11,13,No,No,65,3,2,No,Mid,APAC,1
1063,28,Male,Research & Development,Healthcare Representative,Marketing,5265,No,3,2023-08,19,Yes,Yes,28,4,2,Yes,Mid,Americas,0
1064,30,Male,Sales,Sales Executive,Human Resources,5384,No,1,2024-06,3,Yes,Yes,82,4,4,No,Mid,Americas,0
1065,37,Male,Research & Development,Research Scientist,Marketing,4911,No,3,2023-10,13,No,No,64,3,3,No,Mid,EMEA,1
1066,54,Male,Sales,Sales Executive,Life Sciences,5719,Yes,4,2022-03,12,No,No,101,3,4,No,Mid,Americas,1
1067,40,Female,Research & Development,Healthcare Representative,Technical Degree,8265,No,1,2023-03,18,Yes,Yes,18,3,3,Yes,Senior,APAC,0
1068,24,Male,Sales,Sales Representative,Human Resources,6123,No,2,2022-12,17,No,No,31,3,4,No,Mid,Americas,1
1069,40,Male,Human Resources,Human Resources,Life Sciences,5655,No,3,2022-08,7,No,No,28,3,4,No,Mid,APAC,1
1070,59,Male,Research & Development,Healthcare Representative,Medical,5913,No,3,2023-01,8,Yes,Yes,23,4,1,No,Mid,EMEA,0
1071,42,Male,Sales,Sales Executive,Marketing,5897,No,2,2023-12,18,Yes,No,25,3,3,Yes,Mid,Americas,0
1072,33,Female,Sales,Sales Executive,Technical Degree,5989,No,2,2023-07,4,Yes,Yes,22,3,3,Yes,Mid,Americas,0
1073,41,Male,Research & Development,Laboratory Technician,Medical,6698,No,1,2023-11,18,Yes,Yes,42,4,4,No,Senior,APAC,0
1074,23,Female,Research & Development,Healthcare Representative,Human Resources,7460,No,1,2023-03,6,Yes,Yes,42,3,4,No,Senior,EMEA,0
1075,50,Male,Research & Development,Research Scientist,Human Resources,7345,Yes,4,2022-02,2,Yes,Yes,79,3,1,No,Senior,EMEA,0
1076,52,Male,Research & Development,Research Scientist,Other,7643,Yes,3,2023-09,8,Yes,No,67,4,2,No,Senior,EMEA,0
1077,24,Male,Sales,Sales Representative,Marketing,5181,No,4,2024-08,3,Yes,Yes,47,4,3,No,Mid,Americas,0
1078,25,Male,Research & Development,Healthcare Representative,Marketing,5159,No,2,2022-07,10,Yes,Yes,63,3,2,No,Mid,Americas,0
1079,59,Male,Sales,Sales Representative,Marketing,6134,No,3,2022-12,10,Yes,Yes,59,4,2,Yes,Mid,Americas,0
1080,27,Male,Human Resources,Manager,Medical,4985,No,4,2024-03,4,No,No,49,3,2,No,Mid,APAC,1
1081,50,Male,Research & Development,Healthcare Representative,Other,8081,No,4,2022-09,15,No,No,36,4,1,Yes,Senior,EMEA,1
1082,55,Female,Sales,Sales Executive,Medical,4556,No,1,2023-01,13,Yes,No,35,4,3,No,Mid,Americas,0
1083,49,Male,Sales,Manager,Medical,4289,No,3,2022-01,3,No,No,65,3,1,No,Mid,Americas,1
1084,45,Male,Sales,Sales Representative,Marketing,3367,No,3,2023-10,1,Yes,Yes,25,4,1,No,Junior,Americas,0
1085,32,Male,Sales,Sales Representative,Medical,6244,No,4,2023-09,5,Yes,Yes,31,3,3,No,Mid,Americas,0
1086,27,Male,Research & Development,Healthcare Representative,Marketing,2500,No,4,2024-08,18,Yes,Yes,95,3,1,No,Junior,EMEA,0
1087,25,Male,Research & Development,Laboratory Technician,Other,7519,No,1,2024-04,16,Yes,No,111,4,4,Yes,Senior,EMEA,0
1088,26,Female,Human Resources,Manager,Marketing,9305,No,3,2022-03,9,Yes,Yes,56,4,2,No,Lead,APAC,0
1089,45,Female,Research & Development,Healthcare Representative,Medical,5737,No,4,2022-02,16,Yes,No,118,3,2,Yes,Mid,Americas,0
1090,46,Female,Sales,Sales Executive,Life Sciences,4393,Yes,3,2024-12,0,No,No,50,3,2,Yes,Mid,Americas,1
1091,55,Male,Research & Development,Manager,Marketing,5732,Yes,4,2022-09,2,Yes,Yes,28,4,1,No,Mid,EMEA,0
1092,59,Female,Research & Development,Laboratory Technician,Technical Degree,4644,No,2,2023-07,1,No,No,104,3,4,No,Mid,EMEA,1
1093,24,Male,Research & Development,Healthcare Representative,Marketing,5050,No,2,2024-10,6,No,No,67,3,1,No,Mid,EMEA,1
1094,42,Female,Research & Development,Laboratory Technician,Medical,4739,No,2,2023-01,3,Yes,Yes,86,4,4,No,Mid,EMEA,0
1095,49,Male,Research & Development,Laboratory Technician,Technical Degree,3111,No,1,2023-02,7,Yes,Yes,96,4,3,Yes,Junior,Americas,0
1096,55,Female,Research & Development,Laboratory Technician,Medical,3809,No,4,2023-06,5,Yes,Yes,95,3,4,No,Junior,EMEA,0
1097,26,Female,Research & Development,Research Scientist,Marketing,6976,No,3,2022-06,8,Yes,No,41,4,4,No,Senior,Americas,0
1098,34,Male,Sales,Sales Representative,Other,2500,No,1,2023-03,9,Yes,Yes,61,3,1,No,Junior,Americas,0
1099,45,Female,Sales,Sales Executive,Human Resources,3434,No,1,2024-09,19,No,No,97,3,4,No,Junior,Americas,1
1100,56,Female,Sales,Sales Executive,Medical,3014,No,1,2024-04,12,Yes,Yes,114,3,2,Yes,Junior,Americas,0
